"Model","Component","Fishery","nloglike"
"OneSex","catch","1",501.9871
"OneSex","cpue","1",712.5613
"OneSex","size_comp","1",650.6261
"OneSex","rec_dev","1",225.4227
"OneSex","growth_inc","1",0
"OneSex","catch","2",1360.9022
"OneSex","cpue","2",-60.9165
"OneSex","size_comp","2",1417.7627
"OneSex","rec_dev","2",NA
"OneSex","growth_inc","2",NA
"OneSex","catch","3",-65.1909
"OneSex","cpue","3",NA
"OneSex","size_comp","3",975.2209
"OneSex","rec_dev","3",NA
"OneSex","growth_inc","3",NA
"OneSex","catch","4",NA
"OneSex","cpue","4",NA
"OneSex","size_comp","4",3472.0551
"OneSex","rec_dev","4",NA
"OneSex","growth_inc","4",NA
"OneSex","catch","5",NA
"OneSex","cpue","5",NA
"OneSex","size_comp","5",184.8056
"OneSex","rec_dev","5",NA
"OneSex","growth_inc","5",NA
