ParName   Value   Gradient
log_slx_pars[9]      4.46902  0.000100209
log_slx_pars[10]       4.6754 -5.09698e-05
log_fbar[1]      -2.0331 -5.08864e-05
log_fbar[2]      -5.4056 -6.39487e-05
log_fdev[1](1)     0.360991 -6.48217e-07
log_fdev[1](2)      1.02391  4.30163e-06
log_fdev[1](3)      1.32102 -1.71946e-06
log_fdev[1](4)      1.85006 -1.86957e-06
log_fdev[1](5)      1.68566  4.11075e-06
log_fdev[1](6)      1.44023  6.76274e-06
log_fdev[1](7)      1.20252 -6.66389e-06
log_fdev[1](8)    -0.312916 -9.82026e-06
log_fdev[1](9)     -7.03767 -1.22795e-05
log_fdev[1](10)      1.13377 -3.19613e-06
log_fdev[1](11)      1.22663 -8.99032e-07
log_fdev[1](12)      1.39548  4.83304e-06
log_fdev[1](13)      0.91391   4.1653e-06
log_fdev[1](14)   0.00545211 -2.81069e-06
log_fdev[1](15)     0.111535  3.30231e-06
log_fdev[1](16)     0.555522 -6.59983e-06
log_fdev[1](17)     0.522059 -3.34183e-06
log_fdev[1](18)     0.229349  1.87986e-06
log_fdev[1](19)     0.595259  6.11188e-07
log_fdev[1](20)     -4.59457 -2.98141e-06
log_fdev[1](21)      -4.7089 -3.94817e-06
log_fdev[1](22)    -0.379746 -8.23096e-06
log_fdev[1](23)    -0.296361   -1.998e-06
log_fdev[1](24)     0.506676  9.31572e-07
log_fdev[1](25)   -0.0782192 -7.92642e-07
log_fdev[1](26)   -0.0883167 -5.27741e-06
log_fdev[1](27)    -0.133759 -4.89059e-06
log_fdev[1](28)    -0.149995 -5.10943e-06
log_fdev[1](29)     0.546619 -2.50515e-06
log_fdev[1](30)    0.0779067  1.56718e-06
log_fdev[1](31)      0.78376 -2.43146e-06
log_fdev[1](32)     0.295059 -2.29193e-07
log_fdev[1](33)      0.68648  3.30467e-06
log_fdev[1](34)     0.609662  4.19072e-06
log_fdev[1](35)     0.276832 -1.78129e-06
log_fdev[1](36)     0.196137  6.59686e-06
log_fdev[1](37)    -0.425449   1.7015e-06
log_fdev[1](38)    -0.747432 -1.36409e-06
log_fdev[1](39)     -0.59917  3.88087e-06
log_fdev[2](1)    -0.206507 -4.61998e-06
log_fdev[2](2)     0.331234 -1.06673e-05
log_fdev[2](3)     0.292653 -1.19755e-06
log_fdev[2](4)    -0.357052 -1.72779e-05
log_fdev[2](5)    -0.937158 -8.62669e-06
log_fdev[2](6)     -1.93418  1.11524e-06
log_fdev[2](7)    -0.997849 -1.30355e-06
log_fdev[2](8)     -0.51609  1.88062e-06
log_fdev[2](9)      1.33932 -2.33445e-06
log_fdev[2](10)      1.20975  6.69793e-06
log_fdev[2](11)     0.388304  6.45751e-07
log_fdev[2](12)     0.338167 -2.95369e-06
log_fdev[2](13)      1.56403 -2.39467e-06
log_fdev[2](14)     0.378331 -1.16961e-05
log_fdev[2](15)     0.677486 -1.05331e-07
log_fdev[2](16)     0.949064  3.69617e-07
log_fdev[2](17)      1.06051 -2.96017e-06
log_fdev[2](18)      1.36662 -6.22108e-07
log_fdev[2](19)    -0.126103 -1.20222e-06
log_fdev[2](20)     0.353355 -2.82489e-06
log_fdev[2](21)    -0.244441  2.19869e-06
log_fdev[2](22)    -0.559352  2.74804e-06
log_fdev[2](23)     0.225777  1.51166e-07
