"Model","Component","Fishery","nloglike"
"","catch","1",3366.9783
"","cpue","1",664.5318
"","size_comp","1",2727.3261
"","rec_dev","1",128.2006
"","growth_inc","1",0
"","catch","2",3135.896
"","cpue","2",-1.4263
"","size_comp","2",1760.7473
"","rec_dev","2",NA
"","growth_inc","2",NA
"","catch","3",-49.8516
"","cpue","3",NA
"","size_comp","3",647.9705
"","rec_dev","3",NA
"","growth_inc","3",NA
"","catch","4",-76.6927
"","cpue","4",NA
"","size_comp","4",951.0339
"","rec_dev","4",NA
"","growth_inc","4",NA
"","catch","5",NA
"","cpue","5",NA
"","size_comp","5",1110.9079
"","rec_dev","5",NA
"","growth_inc","5",NA
"","catch","6",NA
"","cpue","6",NA
"","size_comp","6",1292.4886
"","rec_dev","6",NA
"","growth_inc","6",NA
"","catch","7",NA
"","cpue","7",NA
"","size_comp","7",1693.7771
"","rec_dev","7",NA
"","growth_inc","7",NA
"","catch","8",NA
"","cpue","8",NA
"","size_comp","8",1308.6433
"","rec_dev","8",NA
"","growth_inc","8",NA
"","catch","9",NA
"","cpue","9",NA
"","size_comp","9",194.1651
"","rec_dev","9",NA
"","growth_inc","9",NA
