"Model","variable","value"
"","X1",91.374
"","X2",2.528
"","X3",4.428
"","X4",4.13
"","X5",0
"","X6",0
"","X7",0
"","X8",0
"","X9",0
"","X10",0
"","X11",0
"","X12",0
"","X13",0
"","X14",0
"","X15",0
"","X16",0
"","X17",0
"","X18",0
"","X19",0
"","X20",22.591
"","X21",1.947
"","X22",84.298
"","X23",130.831
"","X24",15.952
"","X25",9.813
"","X26",0
"","X27",0
"","X28",0
"","X29",0
"","X30",5.293
"","X31",5.293
"","X32",0
"","X33",0
"","X34",0
"","X35",0
"","X36",0
"","X37",0
"","X38",0
"","X39",0
"","X40",0
"","X41",0
"","Total",378.477
