ParName   Value   Gradient
theta[3]      12.0773     -38.2779
theta[4]      10.4884     -153.268
log_slx_pars[1](1)      4.87919     -6.30537
log_slx_pars[1](2)      5.06789    -0.799354
log_slx_pars[2](1)      4.76373    -0.159349
log_slx_pars[2](2)      5.01064      0.23966
log_slx_pars[3](1)      4.86966      125.101
log_slx_pars[3](2)      5.13571      21.4512
log_slx_pars[8](1)      4.70671     -5.37108
log_slx_pars[8](2)      5.29831     0.449111
log_slx_pars[9](1)      4.80159      7.05859
log_slx_pars[9](2)      5.29829     -1.94739
log_fbar[1]     -2.32896      1.15017
log_fbar[2]     -5.14593     -8.53008
log_fdev[1](1)     0.382832    0.0668747
log_fdev[1](2)     0.757961    0.0352479
log_fdev[1](3)      1.02017    0.0334055
log_fdev[1](4)      1.34881   -0.0260253
log_fdev[1](5)      1.67233    0.0806483
log_fdev[1](6)      2.40623   -0.0224006
log_fdev[1](7)      2.26438    0.0283775
log_fdev[1](8)     0.455493     0.191074
log_fdev[1](9)     -13.8541    -0.124634
log_fdev[1](10)     0.481057     0.139579
log_fdev[1](11)     0.362174    -0.020622
log_fdev[1](12)     0.843083     -0.22894
log_fdev[1](13)     0.575828     0.157552
log_fdev[1](14)    -0.135669     0.332995
log_fdev[1](15)    0.0572146     0.174579
log_fdev[1](16)     0.403456     0.290507
log_fdev[1](17)     0.484766     0.106966
log_fdev[1](18)     0.428179    0.0130659
log_fdev[1](19)     0.984587     0.267224
log_fdev[1](20)     -3.96596   -0.0224058
log_fdev[1](21)     -4.13133     0.226647
log_fdev[1](22)    0.0781818    -0.103328
log_fdev[1](23)     0.166945    0.0812064
log_fdev[1](24)     0.871436     0.317199
log_fdev[1](25)     0.249845    0.0581249
log_fdev[1](26)     0.199744    -0.221436
log_fdev[1](27)     0.253208    -0.166606
log_fdev[1](28)     0.218682    0.0148355
log_fdev[1](29)     0.782203   -0.0150919
log_fdev[1](30)     0.317577   -0.0770741
log_fdev[1](31)      1.00699    0.0540006
log_fdev[1](32)      0.48766    0.0213943
log_fdev[1](33)     0.873678     0.101315
log_fdev[1](34)     0.836093    -0.197982
log_fdev[1](35)     0.558971   -0.0690361
log_fdev[1](36)     0.543053   -0.0611022
log_fdev[1](37)   -0.0187713    -0.091902
log_fdev[1](38)    -0.331237    0.0707017
log_fdev[1](39)    -0.144884   0.00909866
log_fdev[1](40)     0.209731   0.00631244
log_fdev[2](1)    -0.457955    -0.547235
log_fdev[2](2)     0.220133    -0.451661
log_fdev[2](3)     0.379052     0.113258
log_fdev[2](4)     0.555284    -0.277193
log_fdev[2](5)     0.693694    0.0770974
log_fdev[2](6)    -0.326441    -0.805023
log_fdev[2](7)     0.812717     -1.55189
log_fdev[2](8)     0.608979     0.578012
log_fdev[2](9)      1.61157    -0.634948
log_fdev[2](10)     0.604869    -0.250347
log_fdev[2](11)    -0.202986    -0.104557
log_fdev[2](12)    -0.304107     -1.32632
log_fdev[2](13)     0.899649    0.0348533
log_fdev[2](14)    -0.250751    -0.132942
log_fdev[2](15)     0.224826     -0.52978
log_fdev[2](16)     0.647425     0.361005
log_fdev[2](17)     0.887067   0.00968165
log_fdev[2](18)      1.31914    -0.261223
log_fdev[2](19)    -0.153838     0.135989
log_fdev[2](20)     0.513124    -0.279663
log_fdev[2](21)    -0.155329    -0.932604
log_fdev[2](22)    -0.581727    -0.014073
log_fdev[2](23)     0.135364     0.152191
log_fdev[2](24)      0.31221    -0.194202
log_fdev[2](25)    -0.430847    -0.537873
log_fdev[2](26)    0.0272036    -0.140324
log_fdev[2](27)    -0.106018    -0.271455
log_fdev[2](28)   -0.0409868     0.104903
log_fdev[2](29)      -0.4466   -0.0282334
log_fdev[2](30)     -0.25429    -0.263858
log_fdev[2](31)    -0.591253   0.00472797
log_fdev[2](32)    -0.480756    -0.353409
log_fdev[2](33)    -0.381382    -0.795744
log_fdev[2](34)    -0.836892    0.0473652
log_fdev[2](35)     -1.03619     0.641742
log_fdev[2](36)     -1.24199    -0.124125
log_fdev[2](37)     -1.36466    -0.863033
log_fdev[2](38)    -0.564465      1.08506
log_fdev[2](39)    -0.243692    -0.642667
log_foff[1]     -3.44328   -0.0185175
log_fdov[1](1)      2.04131    -0.238426
log_fdov[1](2)   -0.0863801     0.343868
log_fdov[1](3)       1.8444     0.190035
log_fdov[1](4)      1.88393   -0.0680276
log_fdov[1](5)      1.07678    0.0917975
log_fdov[1](6)      1.00913    -0.323149
log_fdov[1](7)     -3.71147     0.519235
log_fdov[1](8)    -0.914558    -0.151184
log_fdov[1](9)      2.13396    -0.143454
log_fdov[1](10)     -1.91499    -0.365271
log_fdov[1](11)    -0.396572     0.244928
log_fdov[1](12)     0.959411     0.260684
log_fdov[1](13)      -2.2499    -0.282714
log_fdov[1](14)       1.2159    0.0438132
log_fdov[1](15)     0.788758     0.173822
log_fdov[1](16)       1.0068     0.247399
log_fdov[1](17)      -1.1517    -0.267269
log_fdov[1](18)    0.0185586     -0.16064
log_fdov[1](19)    -0.212737     0.229104
log_fdov[1](20)    -0.519585    0.0878027
log_fdov[1](21)    -0.159629    0.0434081
log_fdov[1](22)     -1.23826   -0.0893478
log_fdov[1](23)     -1.59286    0.0350576
log_fdov[1](24)     0.322998   -0.0168837
log_fdov[1](25)    -0.152708    0.0330584
rec_ini(1)      1.24384   -0.0951523
rec_ini(2)      1.14775    -0.192024
rec_ini(3)      1.26212    -0.479148
rec_ini(4)      1.14706    -0.557702
rec_ini(5)      1.02205    -0.784113
rec_ini(6)     0.489203    -0.290813
rec_ini(7)     0.255546    -0.181568
rec_ini(8)     0.180238    -0.275958
rec_ini(9)   -0.0756142   0.00471183
rec_ini(10)   -0.0901504    0.0707928
rec_ini(11)     -0.52377       0.3422
rec_ini(12)    -0.482093     0.354201
rec_ini(13)    -0.769927     0.359793
rec_ini(14)    -0.682843     0.339356
rec_ini(15)     -0.39533      0.45814
rec_ini(16)    -0.107022    -0.020867
rec_ini(17)    -0.243048     0.280406
rec_ini(18)    -0.473551     0.257696
rec_ini(19)     -1.16193     0.523655
rec_ini(20)     -1.74253     0.363619
rec_dev(1976)     0.906522      1.11744
rec_dev(1977)      1.63942     0.247802
rec_dev(1978)      2.23132     -1.26635
rec_dev(1979)      2.27644     -1.09437
rec_dev(1980)      1.58759    -0.210746
rec_dev(1981)      3.07693     -7.80287
rec_dev(1982)      2.25779     -2.50994
rec_dev(1983)      2.32089     -4.55205
rec_dev(1984)    -0.132335      1.22505
rec_dev(1985)      1.54621      -1.0059
rec_dev(1986)    -0.122264      1.51342
rec_dev(1987)    -0.404741      1.58327
rec_dev(1988)     0.428691     0.724287
rec_dev(1989)     0.710972   -0.0666283
rec_dev(1990)    -0.515619      1.22607
rec_dev(1991)     -1.60578      1.61024
rec_dev(1992)    -0.676111     0.985424
rec_dev(1993)     -1.40426       1.3729
rec_dev(1994)     0.699525     -3.60815
rec_dev(1995)     -1.52959      1.38997
rec_dev(1996)     -2.43039      1.67579
rec_dev(1997)    -0.471031     0.537652
rec_dev(1998)     0.451883     -1.44826
