#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch,	4	Tanner bycatch 5 fixed gear																														
#	Surveys:	6	NMFS	Trawl	Survey,	7	BSFRF	Survey																																		
#========================================================================================================																																										
1975	# Start	year																																							
2018	# End	year																																							
7	# Number of seasons																																						
6	# Number of fleets (fishing fleets and surveys)																															
2	# Number of sexes																																						
2	# Number of shell condition types																																				
1	# Number of maturity types																																					
20	# Number of size-classes in the	model																																			
7	# Season recruitment occurs																																						
7	# Season molting and growth occurs																																				
6	# Season to calculate SSB																																					
1	# Season for N output																																					
# maximum size-class (males then females)
20 16
#	size_breaks (a	vector	giving	the	break	points	between	size	intervals,	dim=nclass+1)	
65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165																						
#	Natural	mortality	per	season	input	type	(1	=	vector	by	season,	2	=	matrix	by	season/year)																										
2
#	Proportion of the total	natural	mortality to be	applied	each	season	
0.0000  0.2329	0.0000	0.2671	0.000	0.194   0.306   #1975
0.0000  0.2795	0.0000	0.2205	0.000	0.194   0.306	#1976
0.0000  0.3233	0.0000  0.1767	0.000	0.194   0.306	#1977
0.0000  0.2548	0.0000  0.2452	0.000	0.194   0.306	#1978
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1979
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1980
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1981
0.0000  0.2356	0.0000	0.2644	0.000	0.194   0.306	#1982
0.0000  0.2400	0.0000  0.2600	0.000	0.194   0.306	#1983
0.0000  0.2712	0.0000	0.2288	0.000	0.194   0.306	#1984
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1985
0.0000  0.2521	0.0000	0.2479	0.000	0.194   0.306	#1986
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1987
0.0000  0.2438	0.0000	0.2562	0.000	0.194   0.306	#1988
0.0000  0.2493	0.0000	0.2507	0.000	0.194   0.306	#1989
0.0000  0.3507	0.0000	0.1493	0.000	0.194   0.306	#1990
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1991
0.0000  0.3425	0.0000	0.1575	0.000	0.194   0.306	#1992
0.0000  0.3452	0.0000	0.1548	0.000	0.194   0.306	#1993
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1994
0.0000  0.3400	0.0000	0.1600	0.000	0.194   0.306	#1995
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1996
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1997
0.0000  0.3400	0.0000  0.1600	0.000	0.194   0.306	#1998
0.0000  0.3000  0.0000  0.2000	0.000	0.194   0.306	#1999
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2000
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2001
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2002
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2003
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2004
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2005
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2006
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2007
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2008
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2009
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2010
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2011
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2012
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2013
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2014
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2015
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2016
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2017
0.0000  0.3000	0.0000  0.2000	0.000	0.194   0.306	#2018

# Fishing fleet	names (delimited with: no spaces in names)																																
Pot_Fishery Trawl_Bycatch Bairdi_Fishery_Bycatch Fixed_Gear																																										
# Survey names (delimited with: no spaces in names)
NMFS_Trawl BSFRF
# Are the seasons instantaneous (0) or continuous (1)
1 1 1 1 1 1 1
#1 1 1 1 1 1 1
# Number of catch data frames																																					
7																																										
# Number of rows in each data frame
44	29	29	43	25	25      23
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	CATCH	DATA																																								
##	Type of	catch: 1 = retained, 2	= discard, 0 =	total																													
##	Units of catch:	1 = biomass, 2 = numbers																																	
##	for BBRKC Units	are in 1000 mt	for landed & discards.																															
##	————————————————————————————————————————————————————————————————————————————————————	##																																								
##	Male	retained	pot	fishery	(tonnes)												
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1975	3	1	1	23281.2	0.03	1	1	1	0	0.2	
1976	3	1	1	28993.6	0.03	1	1	1	0	0.2	
1977	3	1	1	31736.9	0.03	1	1	1	0	0.2	
1978	3	1	1	39743	0.03	1	1	1	0	0.2	
1979	3	1	1	48910	0.03	1	1	1	0	0.2	
1980	3	1	1	58943.6	0.03	1	1	1	0	0.2	
1981	3	1	1	15236.8	0.03	1	1	1	0	0.2	
1982	3	1	1	1361.3	0.03	1	1	1	0	0.2	
1983	3	1	1	0.1	0.03	1	1	1	0	0.2	#AEP
1984	3	1	1	1897.1	0.03	1	1	1	0	0.2	
1985	3	1	1	1893.8	0.03	1	1	1	0	0.2	
1986	3	1	1	5168.2	0.03	1	1	1	0	0.2	
1987	3	1	1	5574.2	0.03	1	1	1	0	0.2	
1988	3	1	1	3351.1	0.03	1	1	1	0	0.2	
1989	3	1	1	4656	0.03	1	1	1	0	0.2	
1990	3	1	1	9272.8	0.03	1	1	1	0	0.2	
1991	3	1	1	7885.1	0.03	1	1	1	0	0.2	
1992	3	1	1	3681.8	0.03	1	1	1	0	0.2	
1993	3	1	1	6659.6	0.03	1	1	1	0	0.2	
1994	3	1	1	42.3	0.03	1	1	1	0	0.2	
1995	3	1	1	36.4	0.03	1	1	1	0	0.2	
1996	3	1	1	3861.7	0.03	1	1	1	0	0.2	
1997	3	1	1	4042.1	0.03	1	1	1	0	0.2	
1998	3	1	1	6779.2	0.03	1	1	1	0	0.2	
1999	3	1	1	5377.9	0.03	1	1	1	0	0.2	
2000	3	1	1	3737.9	0.03	1	1	1	0	0.2	
2001	3	1	1	3866.2	0.03	1	1	1	0	0.2	
2002	3	1	1	4384.5	0.03	1	1	1	0	0.2	
2003	3	1	1	7135.3	0.03	1	1	1	0	0.2	
2004	3	1	1	7006.7	0.03	1	1	1	0	0.2	
2005	3	1	1	8399.7	0.03	1	1	1	0	0.2	
2006	3	1	1	7143.2	0.03	1	1	1	0	0.2	
2007	3	1	1	9303.9	0.03	1	1	1	0	0.2	
2008	3	1	1	9216.1	0.03	1	1	1	0	0.2	
2009	3	1	1	7272.5	0.03	1	1	1	0	0.2	
2010	3	1	1	6761.5	0.03	1	1	1	0	0.2	
2011	3	1	1	3607.1	0.03	1	1	1	0	0.2	
2012	3	1	1	3621.7	0.03	1	1	1	0	0.2	
2013	3	1	1	3991	0.03	1	1	1	0	0.2	
2014	3	1	1	4538.6	0.03	1	1	1	0	0.2	
2015	3	1	1	4613.7	0.03	1	1	1	0	0.2	
2016	3	1	1	3923.9	0.03	1	1	1	0	0.2	
2017	3	1	1	3093.7	0.03	1	1	1	0	0.2	
2018	3	1	1	2026.5	0.03	1	1	1	0	0.2	
##	Total Male	pot	fishery	(t)																				
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1990	3	1	1	11782.9	0.04	0	1	1	0	0.2
1991	3	1	1	9974	0.04	0	1	1	0	0.2
1992	3	1	1	6013.7	0.04	0	1	1	0	0.2
1993	3	1	1	9667.7	0.04	0	1	1	0	0.2
1994	3	1	1	62.3	0.04	0	1	1	0	0.2
1995	3	1	1	52.8	0.04	0	1	1	0	0.2
1996	3	1	1	3902.3	0.04	0	1	1	0	0.2
1997	3	1	1	3847.2	0.04	0	1	1	0	0.2
1998	3	1	1	17681.4	0.04	0	1	1	0	0.2
1999	3	1	1	12245.2	0.04	0	1	1	0	0.2
2000	3	1	1	6672.3	0.04	0	1	1	0	0.2
2001	3	1	1	5797	0.04	0	1	1	0	0.2
2002	3	1	1	7065.3	0.04	0	1	1	0	0.2
2003	3	1	1	12300.6	0.04	0	1	1	0	0.2
2004	3	1	1	10816.8	0.04	0	1	1	0	0.2
2005	3	1	1	13753.3	0.04	0	1	1	0	0.2
2006	3	1	1	9170.4	0.04	0	1	1	0	0.2
2007	3	1	1	13956.6	0.04	0	1	1	0	0.2
2008	3	1	1	15068.7	0.04	0	1	1	0	0.2
2009	3	1	1	12300.3	0.04	0	1	1	0	0.2
2010	3	1	1	10087.4	0.04	0	1	1	0	0.2
2011	3	1	1	5732.6	0.04	0	1	1	0	0.2
2012	3	1	1	4568.1	0.04	0	1	1	0	0.2
2013	3	1	1	5260.7	0.04	0	1	1	0	0.2
2014	3	1	1	8312.7	0.04	0	1	1	0	0.2
2015	3	1	1	6706.4	0.04	0	1	1	0	0.2
2016	3	1	1	5557.2	0.04	0	1	1	0	0.2
2017	3	1	1	4075.76	0.04	0	1	1	0	0.2
2018	3	1	1	3060.34	0.04	0	1	1	0	0.2
##	Female	discards	Pot	fishery											
#year seas fleet sex obs	cv	 type units	mult effort	discard_mortality
1990	3	1	2	3240.20 0.07	0	1	1	0	0.2
1991	3	1	2	236.600	0.07	0	1	1	0	0.2
1992	3	1	2	2001.20 0.07	0	1	1	0	0.2
1993	3	1	2	3174.40 0.07	0	1	1	0	0.2
1994	3	1	2	1.877	0.07	0	1	1	0	0.2
1995	3	1	2	1.612	0.07	0	1	1	0	0.2
1996	3	1	2	5.200	0.07	0	1	1	0	0.2
1997	3	1	2	184.800	0.07	0	1	1	0	0.2
1998	3	1	2	2897.10 0.07	0	1	1	0	0.2
1999	3	1	2	28.200	0.07	0	1	1	0	0.2
2000	3	1	2	833.700	0.07	0	1	1	0	0.2
2001	3	1	2	611.400	0.07	0	1	1	0	0.2
2002	3	1	2	46.100	0.07	0	1	1	0	0.2
2003	3	1	2	1804.70 0.07	0	1	1	0	0.2
2004	3	1	2	873.000	0.07	0	1	1	0	0.2
2005	3	1	2	2051.40 0.07	0	1	1	0	0.2
2006	3	1	2	187.700	0.07	0	1	1	0	0.2
2007	3	1	2	816.700	0.07	0	1	1	0	0.2
2008	3	1	2	734.400	0.07	0	1	1	0	0.2
2009	3	1	2	468.500	0.07	0	1	1	0	0.2
2010	3	1	2	609.200	0.07	0	1	1	0	0.2
2011	3	1	2	123.400	0.07	0	1	1	0	0.2
2012	3	1	2	59.800	0.07	0	1	1	0	0.2
2013	3	1	2	514.300	0.07	0	1	1	0	0.2
2014	3	1	2	362.200	0.07	0	1	1	0	0.2
2015	3	1	2	1081.60 0.07	0	1	1	0	0.2
2016	3	1	2	527.000	0.07	0	1	1	0	0.2
2017	3	1	2	266.546	0.07	0	1	1	0	0.2
2018	3	1	2	574.047	0.07	0	1	1	0	0.2
##	Trawl	fishery	discards (t, without applying to handling mortality rate)			
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1976	5	2	0	853.494	    0.10	2	1	1	0	0.8
1977	5	2	0	1562.313	0.10	2	1	1	0	0.8
1978	5	2	0	1650.775	0.10	2	1	1	0	0.8
1979	5	2	0	1664.925	0.10	2	1	1	0	0.8
1980	5	2	0	1295.625	0.10	2	1	1	0	0.8
1981	5	2	0	274.229	    0.10	2	1	1	0	0.8
1982	5	2	0	718.610	    0.10	2	1	1	0	0.8
1983	5	2	0	525.554	    0.10	2	1	1	0	0.8
1984	5	2	0	1367.550	0.10	2	1	1	0	0.8
1985	5	2	0	487.576	    0.10	2	1	1	0	0.8
1986	5	2	0	250.758	    0.10	2	1	1	0	0.8
1987	5	2	0	233.045	    0.10	2	1	1	0	0.8
1988	5	2	0	747.996	    0.10	2	1	1	0	0.8
1989	5	2	0	219.023	    0.10	2	1	1	0	0.8
1990	5	2	0	324.883	    0.10	2	1	1	0	0.8
1991	5	2	0	436.783	    0.10	2	1	1	0	0.8
1992	5	2	0	366.816	    0.10	2	1	1	0	0.8
1993	5	2	0	501.770	    0.10	2	1	1	0	0.8
1994	5	2	0	109.129	    0.10	2	1	1	0	0.8
1995	5	2	0	102.623	    0.10	2	1	1	0	0.8
1996	5	2	0	113.495	    0.10	2	1	1	0	0.8
