ParName   Value   Gradient
theta[4]      15.7399     0.081833
Grwth[7]      144.169   1.2183e-08
Grwth[9]    0.0561141 -6.82769e-06
Grwth[11]      142.392    -0.121142
Grwth[13]    0.0579851     -0.86079
log_slx_pars[1]      4.71518      5.62207
log_slx_pars[2]       4.8965    -0.516774
log_slx_pars[3]      4.75642     -0.60725
log_slx_pars[4]      5.01064    0.0722203
log_slx_pars[5]       4.8422     -7.39107
log_slx_pars[6]      5.08917      2.30491
log_slx_pars[7]      4.57294    -0.478008
log_slx_pars[8]      4.69601     0.360766
log_slx_pars[9]      4.52765     -2.75752
log_slx_pars[10]      4.61152     0.459493
log_slx_pars[11]      4.72802   -0.0938658
log_slx_pars[12]      4.96403   -0.0855898
log_slx_pars[13]        4.277   -0.0679094
log_slx_pars[14]      4.48072    0.0111632
log_slx_pars[15]      4.43935    -0.106932
log_slx_pars[16]      4.75737    0.0306395
log_slx_pars[17]      4.23317     0.526414
log_slx_pars[18]      4.25089   -0.0289056
log_slx_pars[19]      4.48583    -0.127973
log_slx_pars[20]      4.82545    0.0545763
log_slx_pars[21]      4.40639    -0.432273
log_slx_pars[22]      4.58311     0.313502
log_slx_pars[23]      4.23596    0.0463593
log_slx_pars[24]      5.19296   -0.0274173
log_slx_pars[25]      4.91988      27.3566
log_slx_pars[26]      4.96488     -15.2792
log_fbar[1]    -0.595886    -0.456222
log_fbar[2]     -4.77006     0.387281
log_fbar[3]     -39.5467    0.0157565
log_fbar[4]     -7.28084    0.0485984
log_fdev[1](1)     0.656569   -0.0240549
log_fdev[1](2)      1.68963    0.0699104
log_fdev[1](3)      8.59191   -0.0200884
log_fdev[1](4)      10.9887 -0.000480605
log_fdev[1](5)      7.26685   -0.0652401
log_fdev[1](6)      5.37846   -0.0986986
log_fdev[1](7)      2.88765    0.0342249
log_fdev[1](8)    -0.256229     0.163538
log_fdev[1](9)    -0.156289    0.0665763
log_fdev[1](10)    -0.148196    0.0853837
log_fdev[1](11)    0.0771358    0.0885609
log_fdev[1](12)    -0.391613    0.0415743
log_fdev[1](13)     -1.28624    0.0203131
log_fdev[1](14)     -1.15171    0.0677631
log_fdev[1](15)    -0.532781    0.0869489
log_fdev[1](16)    -0.562037    -0.051955
log_fdev[1](17)    -0.903768   -0.0588617
log_fdev[1](18)     -0.46684   -0.0707239
log_fdev[1](19)      -5.6327    -0.209157
