ParName   Value   Gradient
theta[4]      15.8581     0.225664
Grwth[7]      140.787      1.93704
Grwth[9]    0.0542906     -1.35479
Grwth[11]      142.627     -1.03522
Grwth[13]     0.063325     0.380201
log_slx_pars[1]      4.73101      8.71358
log_slx_pars[2]      4.91738      -0.6017
log_slx_pars[3]      4.76133      14.6816
log_slx_pars[4]      5.01064    0.0520997
log_slx_pars[5]      4.87127       -1.919
log_slx_pars[6]      5.12423      4.34322
log_slx_pars[7]       4.5766     0.790477
log_slx_pars[8]        4.704    -0.283245
log_slx_pars[9]      4.53007    -0.369071
log_slx_pars[10]      4.61411     0.720869
log_slx_pars[11]      4.73781      1.14742
log_slx_pars[12]       4.9788    0.0745272
log_slx_pars[13]      4.31089    0.0160594
log_slx_pars[14]      4.48705  -0.00194753
log_slx_pars[15]      4.45943   -0.0501335
log_slx_pars[16]      4.78614    0.0829277
log_slx_pars[17]      4.46951   -0.0411862
log_slx_pars[18]      4.74124     0.369504
log_slx_pars[19]      4.48335     -0.12451
log_slx_pars[20]      4.81615     0.212812
log_slx_pars[21]      4.41181    -0.598944
log_slx_pars[22]      4.59619       0.5057
log_slx_pars[23]      4.25638    -0.221623
log_slx_pars[24]      5.19296    0.0245053
log_slx_pars[25]      4.91745        20.96
log_slx_pars[26]      4.95544     -19.2971
log_fbar[1]     -1.40758     -5.00318
log_fbar[2]     -4.78334     -1.29532
log_fbar[3]     -6.03308    -0.427705
log_fbar[4]     -7.23057   -0.0961091
log_fdev[1](1)     0.545084    0.0305943
log_fdev[1](2)     0.568079 -0.000208667
log_fdev[1](3)     0.538126    0.0149102
log_fdev[1](4)     0.729094    0.0510334
log_fdev[1](5)     0.977687    0.0899381
log_fdev[1](6)      1.75217     0.388858
log_fdev[1](7)      1.90989     0.409027
log_fdev[1](8)     0.222129    -0.528363
log_fdev[1](9)      0.88105   -0.0819147
log_fdev[1](10)     0.870198   -0.0451365
log_fdev[1](11)      1.05717    -0.053872
log_fdev[1](12)      0.57557    0.0431657
log_fdev[1](13)    -0.350995    0.0936894
log_fdev[1](14)    -0.238179    0.0333303
log_fdev[1](15)     0.377177    -0.129788
log_fdev[1](16)     0.371526    -0.340316
log_fdev[1](17)    0.0509349    -0.448636
log_fdev[1](18)     0.499961    -0.389606
log_fdev[1](19)     -4.66587     -0.31037
log_fdev[1](20)     -5.10191    -0.272728
log_fdev[1](21)    -0.549085    -0.356069
log_fdev[1](22)    -0.439862    -0.333508
log_fdev[1](23)     0.339762    -0.260498
log_fdev[1](24)    -0.204149    -0.306419
log_fdev[1](25)    -0.306253    -0.121568
log_fdev[1](26)    -0.337151    -0.242518
log_fdev[1](27)    -0.357676   -0.0292769
log_fdev[1](28)     0.244505   -0.0628902
log_fdev[1](29)   -0.0815184   -0.0528034
log_fdev[1](30)     0.370466   -0.0778737
log_fdev[1](31)    0.0411975   -0.0231713
log_fdev[1](32)     0.473023   -0.0662908
log_fdev[1](33)     0.539183   -0.0391867
log_fdev[1](34)     0.309937    -0.178405
log_fdev[1](35)     0.254256    -0.103927
log_fdev[1](36)    -0.354931     -0.17182
log_fdev[1](37)    -0.615252    -0.315372
log_fdev[1](38)    -0.425537    -0.357453
log_fdev[1](39)       -0.162    -0.217121
log_fdev[1](40)    -0.307856    -0.269527
log_fdev[2](1)    -0.370178    0.0521633
log_fdev[2](2)     0.314587   -0.0620396
log_fdev[2](3)     0.129052   -0.0659122
log_fdev[2](4)     0.386781   -0.0848409
log_fdev[2](5)      1.25515   -0.0182107
log_fdev[2](6)     0.763603     0.103221
log_fdev[2](7)      2.19317     0.139606
log_fdev[2](8)      1.86024     0.166293
log_fdev[2](9)      2.82472     0.123776
log_fdev[2](10)      1.48358    0.0632628
log_fdev[2](11)     0.598923   -0.0534177
log_fdev[2](12)     0.158825    0.0534723
log_fdev[2](13)      1.27379    0.0203508
log_fdev[2](14)    -0.158133   -0.0370759
log_fdev[2](15)     0.355246    0.0187255
log_fdev[2](16)     0.529111   -0.0347596
log_fdev[2](17)     0.874565   -0.0678474
log_fdev[2](18)      1.02117    -0.117904
log_fdev[2](19)    -0.776073    -0.133637
log_fdev[2](20)    -0.106827   -0.0985883
log_fdev[2](21)    -0.485755  -0.00964165
log_fdev[2](22)    -0.958136   -0.0701713
log_fdev[2](23)    -0.330949    0.0565685
log_fdev[2](24)     -0.20205    -0.254916
log_fdev[2](25)    -0.875527     0.102537
log_fdev[2](26)    -0.507333   -0.0555514
log_fdev[2](27)    -0.775816   -0.0720842
log_fdev[2](28)    -0.497262    0.0334617
