#========================================================================================================																				
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example												
#	Fisheries:	1	Pot	Fishery,	2	Pot	Discard,	3	Trawl	by-catch										
#	Surveys:	1	NMFS	Trawl	Survey,	2	BSFRF	Survey												
#========================================================================================================																				
1976	#	Start	year																	
2014	#	End	year																	
1	    #	Time-step	(years)																	
6	    #	Number	of	distinct	data	groups	(among	fishing	fleets	and	surveys)									
1	    #	Number	of	sexes																
2	    #	Number	of	shell	condition	types														
1	    #	Number	of	maturity	types															
6	    #	Number	of	size-classes	in	the	model													
#	size_breaks	(a	vector	giving	the	break	points	between	size	intervals,	dim=nclass+1)									
74	84	94	104	114	124 134															
#	weight-at-length	allometry	w_l	=	a•l^b															
##	a	(male,	female)																	
1.24E-04																				
##	b	(male,	female)																	
2.89																				
#	Male	mature	weight-at-length	(weight	*	proportion	mature)													
0	0	1.652	2.187	2.825	3.697															
#	Proportion	mature	by	sex.																
0	0	1	1	1	1 
#	Fishing	fleet	names	(delimited	with	:	no	spaces	in	names)										
Summer:Winter_COM:Winter_Sub:Winter_Discard																				
#	Survey	names	(delimited	with	:	no	spaces	in	names)											
# NMFS_Trawl:ADFG:STCPUE																				
NMFS_Trawl:ADFG
4	#	Number	of	catch	data	frames														
#	Number	of	rows	in	each	data	frame.													
37	37	37	31																	
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##	CATCH	DATA																		
##	Type	of	catch:	1	=	retained,	2	=	discard,	3	=									
##	Units	of	catch:	1	=	biomass,	2	=	numbers											
##	for	NSRKC	Units	are	in	1000	crabs													
##	————————————————————————————————————————————————————————————————————————————————————	##																		
##	year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality									
##	Male	Retained																		
	1977	1	1	1	195.877	0.05	1	2	1	5457	0									
	1978	1	1	1	660.829	0.05	1	2	1	10817	0									
	1979	1	1	1	970.962	0.05	1	2	1	34773	0									
	1980	1	1	1	329.778	0.05	1	2	1	11199	0									
	1981	1	1	1	376.313	0.05	1	2	1	33745	0									
	1982	1	1	1	63.949	0.05	1	2	1	11230	0									
	1983	1	1	1	132.205	0.05	1	2	1	11195	0									
	1984	1	1	1	139.759	0.05	1	2	1	9706	0									
	1985	1	1	1	146.669	0.05	1	2	1	13209	0									
	1986	1	1	1	162.438	0.05	1	2	1	4284	0									
	1987	1	1	1	103.338	0.05	1	2	1	10258	0									
	1988	1	1	1	76.148	0.05	1	2	1	2350	0									
	1989	1	1	1	79.116	0.05	1	2	1	5149	0									
	1990	1	1	1	59.132	0.05	1	2	1	3172	0									
	1992	1	1	1	24.902	0.05	1	2	1	5746	0									
	1993	1	1	1	115.913	0.05	1	2	1	7063	0									
	1994	1	1	1	108.824	0.05	1	2	1	11729	0									
	1995	1	1	1	105.967	0.05	1	2	1	18782	0									
	1996	1	1	1	74.752	0.05	1	2	1	10453	0									
	1997	1	1	1	32.606	0.05	1	2	1	2982	0									
	1998	1	1	1	10.661	0.05	1	2	1	1639	0									
	1999	1	1	1	8.734	0.05	1	2	1	1630	0									
	2000	1	1	1	111.728	0.05	1	2	1	6345	0									
	2001	1	1	1	98.321	0.05	1	2	1	11928	0									
	2002	1	1	1	86.666	0.05	1	2	1	6491	0									
	2003	1	1	1	93.638	0.05	1	2	1	8494	0									
	2004	1	1	1	120.289	0.05	1	2	1	8066	0									
	2005	1	1	1	138.926	0.05	1	2	1	8867	0									
	2006	1	1	1	150.358	0.05	1	2	1	8695	0									
	2007	1	1	1	110.344	0.05	1	2	1	9118	0									
	2008	1	1	1	143.337	0.05	1	2	1	8721	0									
	2009	1	1	1	143.485	0.05	1	2	1	11934	0									
	2010	1	1	1	149.822	0.05	1	2	1	9698	0									
	2011	1	1	1	141.626	0.05	1	2	1	6808	0									
	2012	1	1	1	161.113	0.05	1	2	1	10041	0									
	2013	1	1	1	130.603	0.05	1	2	1	15058	0									
	2014	1	1	1	129.656	0.05	1	2	1	10127	0									
##	Winter Commercial 																			
	1978	1	2	1	9.625	0.05	1	2	1	0	0									
	1979	1	2	1	0.221	0.05	1	2	1	0	0									
	1980	1	2	1	0.022	0.05	1	2	1	0	0									
	1981	1	2	1	0	0.05	1	2	1	0	0									
	1982	1	2	1	0.017	0.05	1	2	1	0	0									
	1983	1	2	1	0.549	0.05	1	2	1	0	0									
	1984	1	2	1	0.856	0.05	1	2	1	0	0									
	1985	1	2	1	1.168	0.05	1	2	1	0	0									
	1986	1	2	1	2.168	0.05	1	2	1	0	0									
	1987	1	2	1	1.04	0.05	1	2	1	0	0									
	1988	1	2	1	0.425	0.05	1	2	1	0	0									
	1989	1	2	1	0.403	0.05	1	2	1	0	0									
	1990	1	2	1	3.626	0.05	1	2	1	0	0									
	1991	1	2	1	3.8	0.05	1	2	1	0	0									
	1992	1	2	1	7.478	0.05	1	2	1	0	0									
	1993	1	2	1	1.788	0.05	1	2	1	0	0									
	1994	1	2	1	5.753	0.05	1	2	1	0	0									
	1995	1	2	1	7.538	0.05	1	2	1	0	0									
	1996	1	2	1	1.778	0.05	1	2	1	0	0									
	1997	1	2	1	0.083	0.05	1	2	1	0	0									
	1998	1	2	1	0.984	0.05	1	2	1	0	0									
	1999	1	2	1	2.714	0.05	1	2	1	0	0									
	2000	1	2	1	3.045	0.05	1	2	1	0	0									
	2001	1	2	1	1.098	0.05	1	2	1	0	0									
	2002	1	2	1	2.591	0.05	1	2	1	0	0									
	2003	1	2	1	6.853	0.05	1	2	1	0	0									
	2004	1	2	1	0.522	0.05	1	2	1	0	0									
	2005	1	2	1	2.121	0.05	1	2	1	0	0									
	2006	1	2	1	0.075	0.05	1	2	1	0	0									
	2007	1	2	1	3.313	0.05	1	2	1	0	0									
	2008	1	2	1	5.796	0.05	1	2	1	0	0									
	2009	1	2	1	4.951	0.05	1	2	1	0	0									
	2010	1	2	1	4.834	0.05	1	2	1	0	0									
	2011	1	2	1	3.365	0.05	1	2	1	0	0									
	2012	1	2	1	9.157	0.05	1	2	1	0	0									
	2013	1	2	1	22.639	0.05	1	2	1	0	0									
	2014	1	2	1	14.986	0.05	1	2	1	0	0									
##	Winter Subsistence retained 																			
	1978	1	3	1	12.506	0.05	1	2	1	0	0									
	1979	1	3	1	0.224	0.05	1	2	1	0	0									
	1980	1	3	1	0.213	0.05	1	2	1	0	0									
	1981	1	3	1	0.36	0.05	1	2	1	0	0									
	1982	1	3	1	1.288	0.05	1	2	1	0	0									
	1983	1	3	1	10.432	0.05	1	2	1	0	0									
	1984	1	3	1	11.22	0.05	1	2	1	0	0									
	1985	1	3	1	8.377	0.05	1	2	1	0	0									
	1986	1	3	1	7.052	0.05	1	2	1	0	0									
	1987	1	3	1	5.772	0.05	1	2	1	0	0									
	1988	1	3	1	2.724	0.05	1	2	1	0	0									
	1989	1	3	1	6.126	0.05	1	2	1	0	0									
	1990	1	3	1	12.152	0.05	1	2	1	0	0									
	1991	1	3	1	7.366	0.05	1	2	1	0	0									
	1992	1	3	1	11.736	0.05	1	2	1	0	0									
	1993	1	3	1	1.097	0.05	1	2	1	0	0									
	1994	1	3	1	4.113	0.05	1	2	1	0	0									
	1995	1	3	1	5.426	0.05	1	2	1	0	0									
	1996	1	3	1	1.679	0.05	1	2	1	0	0									
	1997	1	3	1	0.745	0.05	1	2	1	0	0									
	1998	1	3	1	8.622	0.05	1	2	1	0	0									
	1999	1	3	1	7.533	0.05	1	2	1	0	0									
	2000	1	3	1	5.723	0.05	1	2	1	0	0									
	2001	1	3	1	0.256	0.05	1	2	1	0	0									
	2002	1	3	1	2.177	0.05	1	2	1	0	0									
	2003	1	3	1	4.14	0.05	1	2	1	0	0									
	2004	1	3	1	1.181	0.05	1	2	1	0	0									
	2005	1	3	1	3.973	0.05	1	2	1	0	0									
	2006	1	3	1	1.239	0.05	1	2	1	0	0									
	2007	1	3	1	10.69	0.05	1	2	1	0	0									
	2008	1	3	1	9.485	0.05	1	2	1	0	0									
	2009	1	3	1	4.752	0.05	1	2	1	0	0									
	2010	1	3	1	7.044	0.05	1	2	1	0	0									
	2011	1	3	1	6.64	0.05	1	2	1	0	0									
	2012	1	3	1	7.311	0.05	1	2	1	0	0									
	2013	1	3	1	7.622	0.05	1	2	1	0	0									
	2014	1	3	1	3.252	0.05	1	2	1	0	0									
##	Winter Subsistence discards																			
	1984	2	4	1	4.703	0.05	1	2	1	0	0.2									
	1985	2	4	1	2.38	0.05	1	2	1	0	0.2									
	1986	2	4	1	3.699	0.05	1	2	1	0	0.2									
	1987	2	4	1	1.634	0.05	1	2	1	0	0.2									
	1988	2	4	1	0.849	0.05	1	2	1	0	0.2									
	1989	2	4	1	1.819	0.05	1	2	1	0	0.2									
	1990	2	4	1	4.483	0.05	1	2	1	0	0.2									
	1991	2	4	1	1.929	0.05	1	2	1	0	0.2									
	1992	2	4	1	3.315	0.05	1	2	1	0	0.2									
	1993	2	4	1	0.096	0.05	1	2	1	0	0.2									
	1994	2	4	1	0.781	0.05	1	2	1	0	0.2									
	1995	2	4	1	2.351	0.05	1	2	1	0	0.2									
	1996	2	4	1	1.257	0.05	1	2	1	0	0.2									
	1997	2	4	1	0.872	0.05	1	2	1	0	0.2									
	1998	2	4	1	11.705	0.05	1	2	1	0	0.2									
	1999	2	4	1	3.118	0.05	1	2	1	0	0.2									
	2000	2	4	1	4.093	0.05	1	2	1	0	0.2									
	2001	2	4	1	0.11	0.05	1	2	1	0	0.2									
	2002	2	4	1	2.942	0.05	1	2	1	0	0.2									
	2003	2	4	1	4.912	0.05	1	2	1	0	0.2									
	2004	2	4	1	0.594	0.05	1	2	1	0	0.2									
	2005	2	4	1	2.511	0.05	1	2	1	0	0.2									
	2006	2	4	1	0.844	0.05	1	2	1	0	0.2									
