ParName   Value   Gradient
theta[2]      7.09999 -1.19033e-007
theta[3]      9.34765      438.747
theta[4]      9.09718     -5885.01
theta[5]      72.5012   0.00372765
log_slx_pars[1](1)      4.67747   0.00730567
log_slx_pars[1](2)      4.68204   0.00311508
log_slx_pars[3](1)      2.44718      1.00856
log_slx_pars[3](2)       2.6127      1.43351
log_slx_pars[4](1)      4.73505     -78.5642
log_slx_pars[4](2)      4.99222      103.964
log_fbar[1]     -2.35076     -138.346
log_fbar[2]     -13.6445   -0.0572922
log_fbar[3]     -11.5315     0.259045
log_fdev[1](1)    -0.637622      4.89326
log_fdev[1](2)     -2.66107     0.910136
log_fdev[1](3)      -3.3432      11.7311
log_fdev[1](4)     0.565918     -2.64118
log_fdev[1](5)      1.11999      5.96108
log_fdev[1](6)      1.90541      2.75162
log_fdev[1](7)       1.9322       11.014
log_fdev[1](8)      2.05217      12.7584
log_fdev[1](9)      1.64883       6.8754
log_fdev[1](10)     0.880402     -13.6946
log_fdev[1](11)     0.345652     -9.27206
log_fdev[1](12)    -0.203744     -14.7648
log_fdev[1](13)    -0.225733     -14.6832
log_fdev[1](14)     0.162554      -8.6999
log_fdev[1](15)   -0.0259013     -14.2576
log_fdev[1](16)    0.0183266     -18.0976
log_fdev[1](17)     0.235646     -11.3116
log_fdev[1](18)   -0.0176423      -10.886
log_fdev[1](19)     0.242294      -4.4363
log_fdev[1](20)     0.329695     -16.0637
log_fdev[1](21)     -0.23303     -11.5234
log_fdev[1](22)     -1.77717     -19.9218
log_fdev[1](23)    -0.742896      -16.365
log_fdev[1](24)   -0.0719981      -10.428
log_fdev[1](25)     -0.11054     -10.1706
log_fdev[1](26)     -1.41625      -9.3388
log_fdev[2](1)      4.12323     0.980869
log_fdev[2](2)      3.54587       1.0046
log_fdev[2](3)      3.18414     0.994375
log_fdev[2](4)       1.6948     0.994336
log_fdev[2](5)      2.41365      1.01549
log_fdev[2](6)     -6.49754      1.02597
log_fdev[2](7)     -6.39442      1.04507
log_fdev[2](8)     -6.10694      1.05555
log_fdev[2](9)     -6.01929      1.01681
log_fdev[2](10)     -5.91764      1.02569
log_fdev[2](11)      -5.7265       1.0418
log_fdev[2](12)      3.63272      1.06516
log_fdev[2](13)      4.42775      1.04767
log_fdev[2](14)      2.40572     0.994062
log_fdev[2](15)     -5.10473      1.00729
log_fdev[2](16)      8.31193      4.74815
log_fdev[2](17)     0.158236      1.03887
log_fdev[2](18)      1.75154      1.04131
log_fdev[2](19)       2.5722      1.03167
log_fdev[2](20)      2.08807       1.0077
log_fdev[2](21)      1.55442      1.02235
log_fdev[2](22)       2.9648      1.04943
log_fdev[2](23)      2.06008      1.06595
log_fdev[2](24)     -5.08798      1.05352
log_fdev[3](1)     -2.27658      1.46457
log_fdev[3](2)      1.64685      1.49998
log_fdev[3](3)     -8.48712      1.48769
log_fdev[3](4)     -1.58054      1.49259
log_fdev[3](5)     -1.15218      1.51267
log_fdev[3](6)     -2.41152      1.52544
log_fdev[3](7)    -0.916385      1.54473
log_fdev[3](8)     0.984456       1.5569
log_fdev[3](9)      1.47878      1.51921
log_fdev[3](10)     -7.94089      1.52506
log_fdev[3](11)      1.31507      1.54393
log_fdev[3](12)      1.02675      1.55824
log_fdev[3](13)      2.52284      1.53775
log_fdev[3](14)      2.32944       1.4983
log_fdev[3](15)      1.55754      1.51002
log_fdev[3](16)       1.9948      1.52356
log_fdev[3](17)      7.12268      3.39999
log_fdev[3](18)      2.93147      1.55651
log_fdev[3](19)      3.03257      1.54714
log_fdev[3](20)      3.35132      1.52942
