"Model","Component","Fishery","nloglike"
"OneSex","catch","1",-60.2331
"OneSex","cpue","1",43.0086
"OneSex","size_comp","1",81.4614
"OneSex","rec_dev","1",69.919
"OneSex","growth_inc","1",0
"OneSex","catch","2",42.3494
"OneSex","cpue","2",18.8925
"OneSex","size_comp","2",213.9783
"OneSex","rec_dev","2",NA
"OneSex","growth_inc","2",NA
"OneSex","catch","3",22.0452
"OneSex","cpue","3",NA
"OneSex","size_comp","3",46.3371
"OneSex","rec_dev","3",NA
"OneSex","growth_inc","3",NA
"OneSex","catch","4",22.0523
"OneSex","cpue","4",NA
"OneSex","size_comp","4",NA
"OneSex","rec_dev","4",NA
"OneSex","growth_inc","4",NA
