"Model","variable","value"
"OneSex","X1",0
"OneSex","X2",4.324
"OneSex","X3",4.476
"OneSex","X4",4.476
"OneSex","X5",2.9
"OneSex","X6",0
"OneSex","X7",0
"OneSex","X8",0
"OneSex","X9",0
"OneSex","X10",0
"OneSex","X11",0
"OneSex","X12",0
"OneSex","X13",0
"OneSex","X14",0
"OneSex","X15",1.888
"OneSex","X16",1.888
"OneSex","X17",9.545
"OneSex","X18",9.287
"OneSex","X19",0
"OneSex","X20",0
"OneSex","X21",7.694
"OneSex","X22",7.86
"OneSex","X23",9.603
"OneSex","X24",9.597
"OneSex","X25",0
"OneSex","X26",0
"OneSex","X27",0
"OneSex","X28",0
"OneSex","X29",0
"OneSex","X30",0
"OneSex","X31",0
"OneSex","X32",0
"OneSex","X33",0
"OneSex","X34",0
"OneSex","X35",0
"OneSex","X36",0
"OneSex","Total",73.538
