ParName   Value   Gradient
theta[3]      8.98159   0.00305248
log_fbar[1]     -1.56744 -3.13222e-06
log_fbar[2]     -12.4537  1.62404e-06
log_fbar[3]     -10.3524  3.93557e-06
log_fdev[1](1)    -0.973433  0.000116786
log_fdev[1](2)     -3.00156 -3.21562e-05
log_fdev[1](3)     -3.75843  0.000102452
log_fdev[1](4)    0.0991986 -0.000193184
log_fdev[1](5)     0.469798  1.51505e-05
log_fdev[1](6)      1.07952  5.12736e-05
log_fdev[1](7)     0.789238  1.79594e-06
log_fdev[1](8)     0.884639  1.20999e-06
log_fdev[1](9)     0.855165 -2.47876e-06
log_fdev[1](10)     0.572993 -5.13243e-05
log_fdev[1](11)     0.506951  1.13607e-06
log_fdev[1](12)     0.079666  4.57057e-06
log_fdev[1](13) -0.000353474 -2.31601e-05
log_fdev[1](14)     0.277716  8.93784e-06
log_fdev[1](15)     0.219189 -4.33045e-05
log_fdev[1](16)      0.29147 -4.45472e-05
log_fdev[1](17)     0.550389  6.93173e-05
log_fdev[1](18)     0.335346 -8.99779e-05
log_fdev[1](19)     0.806005   2.7676e-06
log_fdev[1](20)     0.949815  2.45794e-05
log_fdev[1](21)     0.371264 -6.28438e-06
log_fdev[1](22)     -1.27309 -2.87655e-05
log_fdev[1](23)    -0.255429  3.96669e-05
log_fdev[1](24)     0.483325  3.37385e-05
log_fdev[1](25)     0.519091  7.93089e-05
log_fdev[1](26)    -0.878487 -7.44698e-05
log_fdev[2](1)      3.95735   3.3691e-08
log_fdev[2](2)       3.3911  1.83827e-07
log_fdev[2](3)      3.04043  2.08026e-07
log_fdev[2](4)      1.64587  2.18477e-07
log_fdev[2](5)       2.4056  1.88045e-07
log_fdev[2](6)     -6.59154  2.01607e-07
log_fdev[2](7)     -6.35937   8.7097e-08
log_fdev[2](8)     -5.75842  2.69553e-07
log_fdev[2](9)      -5.6884  2.00039e-07
log_fdev[2](10)     -5.62988  2.23814e-07
log_fdev[2](11)     -5.47455  3.15264e-07
log_fdev[2](12)      3.91354  2.50338e-07
log_fdev[2](13)      4.67074  2.03263e-07
log_fdev[2](14)      2.76018  2.20059e-07
log_fdev[2](15)     -4.84487   1.2695e-07
log_fdev[2](16)      4.92086  1.06048e-06
log_fdev[2](17)     0.389657  8.82566e-08
log_fdev[2](18)       1.9387  1.08877e-07
log_fdev[2](19)        2.725  1.15194e-07
log_fdev[2](20)      2.20716  2.02774e-07
log_fdev[2](21)      1.70118  1.79455e-07
log_fdev[2](22)      3.20255  1.84669e-07
log_fdev[2](23)      2.32665  1.45412e-07
log_fdev[2](24)     -4.84955  1.29683e-07
log_fdev[3](1)     -2.50092 -1.66116e-06
log_fdev[3](2)      1.41886  -1.5226e-06
log_fdev[3](3)     -8.70109 -1.49899e-06
log_fdev[3](4)     -1.70597 -1.49396e-06
log_fdev[3](5)     -1.23313 -1.52264e-06
log_fdev[3](6)     -2.58364 -1.51111e-06
log_fdev[3](7)    -0.959911 -1.62533e-06
log_fdev[3](8)      1.25251 -1.44311e-06
log_fdev[3](9)       1.7268 -1.51289e-06
log_fdev[3](10)     -7.73112 -1.48876e-06
log_fdev[3](11)      1.48607 -1.39762e-06
log_fdev[3](12)      1.23652 -1.46336e-06
log_fdev[3](13)      2.69791 -1.51151e-06
log_fdev[3](14)      2.59859 -1.49069e-06
log_fdev[3](15)       1.7344 -1.58554e-06
log_fdev[3](16)      2.16597 -1.57127e-06
log_fdev[3](17)       5.5482 -1.23573e-06
log_fdev[3](18)      3.02046 -1.59219e-06
log_fdev[3](19)      3.08549  -1.6206e-06
log_fdev[3](20)      3.34488 -1.54538e-06
log_fdev[3](21)     0.780454 -1.53342e-06
log_fdev[3](22)     -7.57787 -1.53547e-06
log_fdev[3](23)     0.632768 -1.56736e-06
log_fdev[3](24)     0.263765   -1.582e-06
rec_ini(1)     0.904263 -0.000485776
rec_ini(2)     0.340255 -0.000858906
rec_ini(3)     -1.24452   0.00148113
rec_dev(1979)       2.1646 -0.000221595
rec_dev(1980)      1.42019  0.000351522
rec_dev(1981)      1.28019  1.85688e-05
rec_dev(1982)    0.0543066 -9.93079e-05
rec_dev(1983)    -0.585593 -0.000202223
rec_dev(1984)    0.0764815 -0.000245746
rec_dev(1985)     0.157268  1.24218e-05
rec_dev(1986)     0.338702  0.000100073
rec_dev(1987)      0.76734   0.00018459
rec_dev(1988)      1.23922 -0.000557822
rec_dev(1989)     0.829002 -4.25417e-05
rec_dev(1990)      1.02351  8.40746e-05
rec_dev(1991)      1.05601 -1.98309e-05
rec_dev(1992)        1.219 -0.000415356
rec_dev(1993)     0.238768  0.000333293
rec_dev(1994)      1.09548  3.72112e-05
rec_dev(1995)      1.43945 -2.74662e-05
rec_dev(1996)     -0.78731  9.56262e-05
rec_dev(1997)    -0.328879  0.000260981
rec_dev(1998)     0.574318  0.000183142
rec_dev(1999)     -1.00937  0.000207188
rec_dev(2000)    -0.443076  5.52526e-05
rec_dev(2001)     -1.54959 -4.71733e-05
rec_dev(2002)     -2.04893  7.77067e-05
rec_dev(2003)     -1.72325  0.000100896
rec_dev(2004)      0.14783 -0.000157759
rec_dev(2005)    -0.109788  8.30772e-05
rec_dev(2006)     0.461422 -0.000257508
rec_dev(2007)     0.611321  0.000432331
rec_dev(2008)     0.235813  0.000461642
rec_dev(2009)     0.449843  0.000612172
rec_dev(2010)   0.00652151 -0.000133543
rec_dev(2011)    -0.465988 -0.000538168
rec_dev(2012)    -0.671685 -0.000215663
rec_dev(2013)     -1.67738  6.56289e-05
rec_dev(2014)     -1.68149  0.000101082
rec_dev(2015)     -3.80425  5.87463e-05
m_dev(1979)   -0.0119044 -0.000125537
m_dev(1980)   -0.0116261 -5.80433e-05
m_dev(1981)   -0.0110488 -8.66937e-05
m_dev(1982)   -0.0102119 -8.44101e-05
m_dev(1983)  -0.00935856  0.000168851
m_dev(1984)  -0.00865021  0.000165431
m_dev(1985)  -0.00807632  0.000254602
m_dev(1986)  -0.00756401  0.000202262
m_dev(1987)  -0.00700847  0.000171545
m_dev(1988)  -0.00642249  0.000294712
m_dev(1989)  -0.00578016  0.000365011
m_dev(1990)  -0.00510169  0.000382574
m_dev(1991)  -0.00437036  0.000374108
m_dev(1992)  -0.00359447  0.000256063
m_dev(1993)  -0.00279784  0.000260178
m_dev(1994)  -0.00200899  4.37105e-05
m_dev(1995)  -0.00127519  8.92482e-05
m_dev(1996)  0.000598391 -5.83808e-05
m_dev(1997)   0.00210292 -9.64865e-05
m_dev(1998)    0.0031203 -0.000146524
m_dev(1999)   0.00328367 -0.000179009
m_dev(2000)   0.00366799 -7.75406e-05
m_dev(2001)   0.00422557 -0.000234123
m_dev(2002)    0.0042212 -0.000160252
m_dev(2003)   0.00432397 -0.000216469
m_dev(2004)   0.00448424 -0.000271878
m_dev(2005)   0.00479352 -0.000236958
m_dev(2006)   0.00519881 -0.000261017
m_dev(2007)   0.00568181 -0.000198295
m_dev(2008)   0.00603475 -0.000282193
m_dev(2009)   0.00655232  -0.00013165
m_dev(2010)   0.00718802 -0.000155666
m_dev(2011)   0.00852535   8.9182e-06
m_dev(2012)    0.0096016  0.000191106
m_dev(2013)    0.0104172   7.0533e-05
m_dev(2014)    0.0110921  3.28329e-05
m_dev(2015)    0.0116861 -0.000236537
