"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1976,1,1,0.000493156836953992,1.6396170292708,0.000439840624323364
1977,1,1,0.000282465256437889,0.262080083068767,0.000378414334198284
1978,1,1,0.00146297994812693,0.301091989278812,0.000489263929550736
1979,1,1,0.00164654077120331,0.216724595817899,0.000326572849861034
1980,1,1,0.0015280157696983,0.196598552377872,0.000260349260944234
1981,1,1,0.00134626567717658,0.223328722081823,0.000652269142972996
1982,1,1,0.00296049043535159,0.178164952845841,0.000268335000053173
1983,1,1,0.00152723273118142,0.183776565462064,0.000149232743648544
1984,1,1,0.000823425230181839,0.213432493790758,0.000112599765434239
1985,1,1,0.000534543241347042,0.279830662750873,6.56050563977541e-05
1986,1,1,0.000238181317611054,0.256594124316849,9.7673857539306e-05
1987,1,1,0.000385936715609058,0.255431210597156,0.000125771611709994
1988,1,1,0.000499500566360856,0.219350979246979,0.000212561356355035
1989,1,1,0.000981985764556651,0.224911230981656,0.000265724007342025
1990,1,1,0.00119711859684012,0.178965178242413,0.000220809138378252
1991,1,1,0.00125176018096056,0.176972837364613,0.000202158738843455
1992,1,1,0.00115856475736926,0.181636554004102,0.000254354277558251
1993,1,1,0.00141955045213238,0.189323080672924,0.000195458589260937
1994,1,1,0.00104636002822409,0.159783600325858,0.00013420165404048
1995,1,1,0.000853384838949221,0.184214210371086,0.000235174798086454
1996,1,1,0.0012941255796051,0.190294938073042,0.0002429630175289
1997,1,1,0.00129384131045734,0.186660087387373,0.000186857899480916
1998,1,1,0.00101459310123441,0.218153390143831,6.59966880831701e-05
1999,1,1,0.000306535390559748,0.248252766699783,7.43542470841224e-05
2000,1,1,0.00030380390739314,0.268874757061225,0.000128988455022594
2001,1,1,0.000487076068602801,0.291948785373022,7.41081959534161e-05
2002,1,1,0.000258097225767885,0.278506007746567,6.54489694935721e-05
2003,1,1,0.000238751339809844,0.26653499803008,5.93506715529938e-05
2004,1,1,0.000226082723466803,0.339073245385973,8.30606462507002e-05
2005,1,1,0.000249792027503441,0.214143407139777,0.000129717265472971
2006,1,1,0.000613778766732,0.18624743239842,0.000151483487322457
2007,1,1,0.000824341012820586,0.20730271788848,0.000138491758643334
2008,1,1,0.000676890179174995,0.160939841905882,0.000151095115831154
2009,1,1,0.000953515546919475,0.159862738517519,0.000201092182192581
2010,1,1,0.00127758222725722,0.192790150206983,0.000212988183483568
2011,1,1,0.00111953775595072,0.161924055823724,0.000138529037737938
2012,1,1,0.000868901140172824,0.189639351145732,7.09098607594906e-05
2013,1,1,0.000378974578987814,0.224840335086648,0.000153563132049477
2014,1,1,0.000692210403530034,0.243154853821743,9.59084520732052e-05
2015,1,1,0.000399950964078507,0.268700302966777,0.000122516705238411
2016,1,1,0.000462938324005322,0.306296098431915,5.21684262348246e-05
2017,1,1,0.000173346958412432,-7.63336444084702,0.000493156836953992
2018,1,1,0.000168480657663266,-8.22356080994449,0.000282465256437889
