"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1976,1,1,0.000519795594280076,0.354670565702393,0.000184356197472926
1977,1,1,0.000636741469223354,0.837115477367635,0.000533026138968678
1978,1,1,0.0016234128748602,0.240418594744731,0.000390298642064395
1979,1,1,0.00156334412555525,0.279997769907494,0.00043773286875345
1980,1,1,0.00135837815891066,0.188806127811209,0.00025647012028724
1981,1,1,0.001271201245673,0.190328904337126,0.000241946340280932
1982,1,1,0.00320433384499238,0.203380270249765,0.00065169828336502
1983,1,1,0.00127011687873909,0.152083362076997,0.000193163645149382
1984,1,1,0.000723617930699668,0.167756130953004,0.000121391344342395
1985,1,1,0.000544923765229805,0.184641119451783,0.000100615334027912
1986,1,1,0.00023435634419235,0.252727919599125,5.9228391312589e-05
1987,1,1,0.000447389998874328,0.231230380376579,0.000103450159616388
1988,1,1,0.000525523775350046,0.218060499008109,0.000114595976693456
1989,1,1,0.00115565108073361,0.191941586227457,0.000221817501561483
1990,1,1,0.00108820469272685,0.191043428807242,0.000207894355742669
1991,1,1,0.00108867059647542,0.173855831650458,0.000189271731943634
1992,1,1,0.00113087925863632,0.161235934597069,0.000182338374182667
1993,1,1,0.00158424591553991,0.159529171281433,0.000252733438012078
1994,1,1,0.00109393750820099,0.163200096319579,0.000178530706706002
1995,1,1,0.000871625341215783,0.146284972022492,0.000127505688653846
1996,1,1,0.00136007805422712,0.161026104763774,0.000219008071246885
1997,1,1,0.00139702598379646,0.165767193779718,0.000231581076971288
1998,1,1,0.0010337734210203,0.159542218325268,0.00016493050483528
1999,1,1,0.000357348739471392,0.20189912404928,7.21483974793885e-05
2000,1,1,0.000316725914073087,0.202232668280756,6.40523267166619e-05
2001,1,1,0.00050259155381416,0.25110169404526,0.000126201590575575
2002,1,1,0.000271415369788483,0.260050586569854,7.05817261175688e-05
2003,1,1,0.000280300822030287,0.247497648238795,6.93737942518969e-05
2004,1,1,0.000250273729581143,0.231687083728698,5.79851905405599e-05
2005,1,1,0.000332974871696818,0.30735790092491,0.000102342457625475
2006,1,1,0.000597352132304235,0.18112728388619,0.00010819676924789
2007,1,1,0.000836854334007072,0.154665908571444,0.000129432835911155
2008,1,1,0.00075015513395275,0.180977446854904,0.000135761160887868
2009,1,1,0.000905721953604532,0.14141789842928,0.000128085295240015
2010,1,1,0.00113271539294607,0.143658544538673,0.000162724244727184
2011,1,1,0.0010078581264695,0.1644926198739,0.000165785223684168
2012,1,1,0.000806991353642606,0.142144844578703,0.000114709660539885
2013,1,1,0.000383272263633942,0.169168181483299,6.48374718519416e-05
2014,1,1,0.000746383903339769,0.194669317883081,0.000145298045342064
2015,1,1,0.000378898453188337,0.203318297282334,7.70369883451627e-05
2016,1,1,0.000477013969329466,0.234489564068264,0.000111854797722539
2017,1,1,0.000206230203308241,0.296389522435629,6.11244714703323e-05
