"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1976,1,1,11.2950682618277,0.348799547836024,3.51533182475332
1977,1,1,11.4589505720608,1.09812954385092,10.6952578704813
1978,1,1,22.8004797716139,0.225981284174533,4.64691308879296
1979,1,1,32.7280784713885,0.283231165377187,8.35666096623179
1980,1,1,29.1879683323573,0.190467803888468,5.02666825974457
1981,1,1,24.0625130341835,0.186816407943223,4.04735460134949
1982,1,1,57.7392606008396,0.205768736930689,10.7199283902691
1983,1,1,26.6368165861663,0.15964117070465,3.87125852799315
1984,1,1,13.3218878174475,0.170232238239042,2.05204023141193
1985,1,1,11.0929315885976,0.191063204119235,1.92096955688732
1986,1,1,3.9634622521978,0.2567644046575,0.919168731527172
1987,1,1,7.99158109239303,0.224408743975348,1.62000557991255
1988,1,1,8.64716137646091,0.218187093949337,1.71040932723723
1989,1,1,18.4599793665623,0.197517654379318,3.31487248461949
1990,1,1,19.0037508851775,0.196197270549714,3.38180452788038
1991,1,1,20.5673859583478,0.166259869520673,3.09802887096064
1992,1,1,21.6352714801414,0.159267140925079,3.12259640195081
1993,1,1,28.8423741741273,0.159533189394427,4.1836595935188
1994,1,1,19.5628872346915,0.166794113781029,2.96118892961973
1995,1,1,17.1272667301975,0.145522697626495,2.2617358995101
1996,1,1,25.9289591791175,0.164785074045721,3.88426660181059
1997,1,1,25.7767492330454,0.163169411847507,3.83055189477615
1998,1,1,19.1013777631906,0.161688788915474,2.80780517711449
1999,1,1,6.24291214935311,0.199871852817869,1.12701949904583
2000,1,1,6.17774294471173,0.217637338564227,1.21963136276408
2001,1,1,9.12795019382484,0.258178737391136,2.12630181421563
2002,1,1,4.88151758179749,0.264981343451768,1.16627915617219
2003,1,1,4.73494542777527,0.245567366838841,1.05109725944261
2004,1,1,5.00402592369741,0.242860769414541,1.09670198765279
2005,1,1,4.89770328896616,0.306113850138189,1.33660177763204
2006,1,1,10.6660250522127,0.186318262668396,1.80786812002206
2007,1,1,15.4823732387916,0.164213131199818,2.30948987949833
2008,1,1,12.6675355761462,0.181298554835551,2.09013845720488
2009,1,1,17.7254735692142,0.145993929713628,2.34859405555216
2010,1,1,21.8207714411357,0.144807365041215,2.87707035355996
2011,1,1,20.737835839698,0.169772600484308,3.20115913126492
2012,1,1,16.4541515539421,0.148387191681883,2.21431672561423
2013,1,1,7.46272009757804,0.17132740402978,1.15787179547427
2014,1,1,13.1429276902503,0.192722232022707,2.30397454261053
2015,1,1,7.50995267603108,0.210687967731039,1.44052508612289
2016,1,1,8.02384529353144,0.230268169004925,1.67308438367506
2017,1,1,3.66019260368263,0.289638674578545,0.948541794425638
2018,1,1,6.29891593527503,0.294572784228963,1.65982543858178
