"","Param","Lower","MLE","Upper","final_gradient"
"1","ln_H_input",-50,-0.157284006128297,50,9.23459439905461e-06
"2","ln_H_input",-50,-0.636817754543599,50,-5.58836258151008e-05
"3","beta1_ct",-50,1.06793958141525,50,1.30575065796501e-05
"4","beta1_ct",-50,-1.38052095609737,50,9.31978326138005e-06
"5","beta1_ct",-50,-2.30621317373502,50,-1.68896622149972e-05
"6","beta1_ct",-50,-0.485572546935878,50,6.42951956730808e-06
"7","beta1_ct",-50,0.556439041763765,50,1.44010731059629e-05
"8","beta1_ct",-50,-0.773835863783314,50,6.33755001661074e-06
"9","beta1_ct",-50,-0.642983683999396,50,-3.75925139524669e-05
"10","beta1_ct",-50,-0.615869843197266,50,2.50836864057469e-07
"11","beta1_ct",-50,-1.78563301799762,50,1.92623325132035e-06
"12","beta1_ct",-50,-3.24019634642685,50,-3.16902918656714e-07
"13","beta1_ct",-50,-2.46437017525606,50,7.4998457864732e-06
"14","beta1_ct",-50,-2.95523388681762,50,1.6073598530536e-05
"15","beta1_ct",-50,-2.0802950858182,50,6.83727495615072e-06
"16","beta1_ct",-50,-1.92431929075612,50,-5.04597253370154e-06
"17","beta1_ct",-50,-0.402326296302273,50,-1.70715464549165e-05
"18","beta1_ct",-50,-0.534260586872263,50,-1.10193241294465e-05
"19","beta1_ct",-50,-0.86738613985119,50,-5.73888176713666e-06
"20","beta1_ct",-50,-1.0318229765276,50,-1.14200449984891e-05
"21","beta1_ct",-50,0.265379586263736,50,-1.56169557761765e-05
"22","beta1_ct",-50,-0.86903551882225,50,-1.33768534981149e-05
"23","beta1_ct",-50,-1.20076131500154,50,-1.34547138565255e-05
"24","beta1_ct",-50,-1.06149143268598,50,-3.69517486384918e-05
"25","beta1_ct",-50,-1.74150463219618,50,1.30261192029801e-05
"26","beta1_ct",-50,-2.69107816063049,50,-6.29176601230075e-06
"27","beta1_ct",-50,-3.14539435479042,50,-6.43632183611187e-06
"28","beta1_ct",-50,-3.40135294868385,50,-3.74395535226724e-05
"29","beta1_ct",-50,-3.41152837833798,50,1.64883096692436e-05
"30","beta1_ct",-50,-3.21441163200096,50,1.89608134090746e-05
"31","beta1_ct",-50,-3.79654370115032,50,-1.1959143582041e-05
"32","beta1_ct",-50,-1.77565721214803,50,6.08762886114556e-07
"33","beta1_ct",-50,-1.03219025282403,50,-2.10790685926665e-05
"34","beta1_ct",-50,-1.62982736529287,50,-7.04986640526206e-06
"35","beta1_ct",-50,0.156740319945027,50,6.50848528405135e-06
"36","beta1_ct",-50,0.141013953246718,50,1.14100511706683e-05
"37","beta1_ct",-50,-1.20611300339662,50,-3.40814248356303e-05
"38","beta1_ct",-50,0.14287346882047,50,9.19796414877716e-06
"39","beta1_ct",-50,-0.955912484016713,50,4.84539314339894e-05
"40","beta1_ct",-50,-2.23576096450917,50,6.65492072507434e-06
"41","beta1_ct",-50,-2.54579197165742,50,-5.45081530889391e-06
"42","beta1_ct",-50,-3.10006473584338,50,-2.7712581134598e-06
"43","beta1_ct",-50,-3.75573318555978,50,2.45364027994799e-05
"44","L_omega1_z",-50,2.28174202352579,50,6.55128661577464e-05
"45","L_epsilon1_z",-50,0.682967427977074,50,-8.97396253991545e-05
"46","logkappa1",-4.65556949162389,-3.69470546722936,-1.85479472842546,-2.72184933791664e-05
"47","beta2_ct",-50,-8.66882652192215,50,4.17688147131834e-05
"48","beta2_ct",-50,-7.49798553493962,50,7.76711694030485e-05
