"","yr","loc","lat","long","cpueN"
"1",2013,"St. Matthew Single",59.66573,-171.2584,68.4956761298033
"2",2013,"St. Matthew MTCA",60.00278,-171.96749,71.7952607118434
"3",2013,"St. Matthew MTCA",60.33519,-172.06416,621.399002662415
"4",2013,"St. Matthew Single",60.66075,-172.74584,568.291656267551
"5",2012,"St. Matthew Single",60.66328,-174.83175,131.979841353182
"6",2012,"St. Matthew Single",59.64946,-175.11082,133.417000527312
"7",2012,"St. Matthew Single",59.32384,-175.10441,278.692936223965
"8",2012,"St. Matthew Single",59.00085,-175.02598,607.262065278584
"9",2012,"St. Matthew Single",60.32943,-175.38922,66.1714663596885
"10",2012,"St. Matthew Single",59.00231,-174.36974,111.797152543702
"11",2012,"St. Matthew Single",59.00176,-173.72809,71.4592571094413
"12",2012,"St. Matthew Single",58.99813,-173.0896,67.8587506738032
"13",2012,"St. Matthew MTCA",59.33267,-173.79605,246.406910971389
"14",2012,"St. Matthew Single",59.33313,-174.44357,68.8970656113715
"15",2012,"St. Matthew MTCA",59.66675,-174.46034,211.086767579018
"16",2012,"St. Matthew MTCA",59.83193,-174.24326,855.919082007883
"17",2012,"St. Matthew MTCA",59.99915,-173.96742,212.500943751918
"18",1987,"St. Matthew MTCA",59.49233,-173.451,429.324564094722
"19",1987,"St. Matthew MTCA",59.66708,-173.23192,232.969286992068
"20",1987,"St. Matthew MTCA",59.81659,-173.54017,799.607495708733
"21",1987,"St. Matthew Single",60.668,-174.1035,155.786407281498
"22",1978,"St. Matthew Single",60.35167,-172.05167,835.602952088566
"23",1978,"St. Matthew Single",60.68167,-172.77417,2785.00899928259
"24",1978,"St. Matthew Single",60.67084,-173.46167,8312.40095044047
"25",1978,"St. Matthew Single",60.97917,-174.21084,116.848132533073
"26",1978,"St. Matthew Single",60.33417,-174.0225,159.914920795476
"27",1978,"St. Matthew Single",60.00167,-173.26583,3646.26742729556
"28",1978,"St. Matthew Single",60.0025,-172.59334,1772.27845408892
"29",1978,"St. Matthew Single",59.005,-173.11417,337.576848397889
"30",1993,"St. Matthew MTCA",60.33534,-172.06425,1190.18675533941
"31",1993,"St. Matthew MTCA",60.15392,-172.33542,1014.64441938002
"32",1993,"St. Matthew MTCA",60.00009,-171.97042,353.963260606008
"33",1993,"St. Matthew MTCA",59.83259,-172.256,216.02047624541
"34",1993,"St. Matthew MTCA",59.3355,-173.16342,237.46292188042
"35",1993,"St. Matthew MTCA",59.50017,-173.49084,339.650379589453
"36",1993,"St. Matthew MTCA",59.66192,-173.2365,1127.94887893199
"37",1993,"St. Matthew MTCA",59.8325,-173.56692,2036.76251116226
"38",1993,"St. Matthew MTCA",60.00084,-173.3005,219.077919847315
"39",1993,"St. Matthew MTCA",60.127,-173.75209,1693.20899918601
