ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364932,HZ100399,01/01/2016 12:15:00 AM,033XX W 61ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0823,008,15,66,07,1155137,1863976,2016,01/10/2016 08:46:55 AM,41.782554213,-87.706769508,"(41.782554213, -87.706769508)"
10365780,HZ101426,01/01/2016 02:00:00 AM,032XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1124,011,28,27,07,1154855,1898509,2016,01/10/2016 08:46:55 AM,41.877322742,-87.706880153,"(41.877322742, -87.706880153)"
10381905,HZ103748,01/01/2016 02:30:00 AM,003XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1831,018,42,8,07,,,2016,01/17/2016 04:04:13 PM,,,
10364994,HZ100465,01/01/2016 03:00:00 AM,034XX W CARROLL AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,1123,011,28,27,07,1153412,1902188,2016,01/10/2016 08:46:55 AM,41.887447077,-87.712080688,"(41.887447077, -87.712080688)"
10364958,HZ100343,01/01/2016 04:00:00 AM,001XX W CONGRESS PKWY,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0123,001,2,32,07,1175535,1898044,2016,01/10/2016 08:46:55 AM,41.875607454,-87.630963389,"(41.875607454, -87.630963389)"
10364927,HZ100282,01/01/2016 04:30:00 AM,066XX S TROY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0831,008,15,66,07,1156531,1860417,2016,01/10/2016 08:46:55 AM,41.772759803,-87.701754484,"(41.772759803, -87.701754484)"
10367101,HZ103271,01/01/2016 08:00:00 AM,033XX W CULLOM AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1724,017,33,16,07,1153313,1928386,2016,01/10/2016 08:46:55 AM,41.959338541,-87.711746867,"(41.959338541, -87.711746867)"
10528837,HZ271698,01/01/2016 09:00:00 AM,022XX N KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2522,025,31,20,07,,,2016,05/20/2016 03:54:40 PM,,,
10423982,HZ161941,01/01/2016 09:00:00 AM,039XX W ARTHINGTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1132,011,24,26,07,,,2016,02/24/2016 03:52:19 PM,,,
10367791,HZ103728,01/01/2016 10:00:00 AM,028XX W PALMER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1414,014,35,22,07,1157243,1914694,2016,01/10/2016 08:46:55 AM,41.921687633,-87.697671731,"(41.921687633, -87.697671731)"
10365120,HZ100485,01/01/2016 11:25:00 AM,105XX S RHODES AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0512,005,9,49,07,1181771,1835372,2016,01/10/2016 08:46:55 AM,41.70348756,-87.610003416,"(41.70348756, -87.610003416)"
10367576,HZ103616,01/01/2016 12:00:00 PM,025XX W FLOURNOY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1135,011,2,28,07,1159568,1896949,2016,01/10/2016 08:46:55 AM,41.872946254,-87.689618246,"(41.872946254, -87.689618246)"
10371556,HZ107007,01/01/2016 12:00:00 PM,040XX N MARINE DR,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,1915,019,46,3,07,1171348,1927159,2016,01/15/2016 11:08:45 AM,41.955593487,-87.645478982,"(41.955593487, -87.645478982)"
10365231,HZ100622,01/01/2016 01:00:00 PM,020XX W 70TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0735,007,17,67,07,1163905,1858231,2016,01/10/2016 08:46:55 AM,41.766609337,-87.674784583,"(41.766609337, -87.674784583)"
10365296,HZ100824,01/01/2016 03:00:00 PM,005XX N LAWNDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1122,011,27,23,07,1151624,1903362,2016,01/10/2016 08:46:55 AM,41.890703988,-87.718615921,"(41.890703988, -87.718615921)"
10366638,HZ102797,01/01/2016 03:00:00 PM,017XX W HARRISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,false,false,1231,012,2,28,07,1164863,1897422,2016,01/10/2016 08:46:55 AM,41.874133594,-87.670164416,"(41.874133594, -87.670164416)"
