#========================================================================================================
# Gmacs Main  Data  File  Version 1.1:  SM18 with all new data
# GEAR_INDEX  DESCRIPTION
#   1      : Pot fishery retained catch.
#   1      : Pot fishery with discarded catch.
#   2      : Trawl bycatch
#   3      : Fixed bycatch
#   4      : Trawl survey
#   5      : Pot survey
#========================================================================================================
# Fisheries:  1 Pot Fishery,  2 Pot Discard,  3 Trawl by-catch, 3 Fixed by-catch
# Surveys:   4 NMFS Trawl Survey, 5 Pot Survey
#========================================================================================================
1978  # Start year
2018  # End year (updated) last year of fishery does NOT include current survey year
5    # Number of seasons
5    # Number of fleets (fisheries and surveys)
1    # Number of sexes
1    # Number of shell condition types
1    # Number of maturity types
3    # Number of size-classes in the model
5    # Season recruitment occurs
5    # Season molting and growth occurs
4    # Season to calculate SSB
1    # Season for N output
# maximum size-class (males then females)
3
# size_breaks (a vector giving the break points between size intervals with dimension nclass+1)
90  105  120  135
# Natural mortality per season input type (1 = vector by season, 2 = matrix by season/year)
2
# Proportion of the total natural mortality to be applied each season (each row must add to 1)
0.000	0.070	0.000	0.560	0.370
0.000	0.060	0.000	0.570	0.370
0.000	0.070	0.000	0.560	0.370
0.000	0.050	0.000	0.580	0.370
0.000	0.070	0.000	0.560	0.370
0.000	0.120	0.000	0.510	0.370
0.000	0.100	0.000	0.530	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.140	0.000	0.490	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.180	0.000	0.450	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370
0.000	0.440	0.000	0.190	0.370 # (updated)
#0  0.0025  0  0.6245  0.373
# Fishing fleet names (delimited with : no spaces in names)
Pot_Fishery Trawl_Bycatch Fixed_bycatch
# Survey names (delimited with : no spaces in names)
NMFS_Trawl ADFG_Pot
# Are the fleets instantaneous (0) or continuous (1)
1 1 1 1 1
# Number  of  catch data  frames
4
# Number  of  rows  in  each  data  frame
27  18 28  28 #(updated - all should increase 1 placeholder for direct fishery if closed)
##  CATCH DATA
##  Type of catch: 1 = retained, 2 = discard
##  Units of catch: 1 = biomass, 2 = numbers
##  for SMBKC Units are in number of crab for landed & 1000 kg for discards.
##  Male Retained
# year  seas   fleet  sex   obs    cv type  units mult effort  discard_mortality
1978   3     1     1     436126  0.03   1     2     1     0     0.2
1979   3     1     1     52966   0.03   1     2     1     0     0.2
1980   3     1     1     33162   0.03   1     2     1     0     0.2
1981   3     1     1     1045619 0.03   1     2     1     0     0.2
1982   3     1     1     1935886 0.03   1     2     1     0     0.2
1983   3     1     1     1931990 0.03   1     2     1     0     0.2
1984   3     1     1     841017  0.03   1     2     1     0     0.2
1985   3     1     1     436021  0.03   1     2     1     0     0.2
1986   3     1     1     219548  0.03   1     2     1     0     0.2
1987   3     1     1     227447  0.03   1     2     1     0     0.2
1988   3     1     1     280401  0.03   1     2     1     0     0.2
1989   3     1     1     247641  0.03   1     2     1     0     0.2
1990   3     1     1     391405  0.03   1     2     1     0     0.2
1991   3     1     1     726519  0.03   1     2     1     0     0.2
1992   3     1     1     545222  0.03   1     2     1     0     0.2
1993   3     1     1     630353  0.03   1     2     1     0     0.2
1994   3     1     1     827015  0.03   1     2     1     0     0.2
1995   3     1     1     666905  0.03   1     2     1     0     0.2
1996   3     1     1     660665  0.03   1     2     1     0     0.2
1997   3     1     1     939822  0.03   1     2     1     0     0.2
1998   3     1     1     635370  0.03   1     2     1     0     0.2
2009   3     1     1     103376  0.03   1     2     1     0     0.2
2010   3     1     1     298669  0.03   1     2     1     0     0.2
2011   3     1     1     437862  0.03   1     2     1     0     0.2
2012   3     1     1     379386  0.03   1     2     1     0     0.2
2014   3     1     1     69109   0.03   1     2     1     0     0.2
2015   3     1     1     24407   0.03   1     2     1     0     0.2
#2016   3     1     1     10.000  0.03   1     2     1     0     0.2
#2017   3     1     1     10.000  0.03   1     2     1     0     0.2
#2018   3     1     1     10.000  0.03   1     2     1     0     0.2 # placeholder no fishery
# Male  discards  Pot fishery
1990   3     1     1    254.9787861    0.6    2     1     1     0     0.2
1991   3     1     1    531.4483252    0.6    2     1     1     0     0.2
1992   3     1     1    1050.387026    0.6    2     1     1     0     0.2
1993   3     1     1    951.4626128    0.6    2     1     1     0     0.2
1994   3     1     1    1210.764588    0.6    2     1     1     0     0.2
1995   3     1     1    363.112032     0.6    2     1     1     0     0.2
1996   3     1     1    528.5244687    0.6    2     1     1     0     0.2
1997   3     1     1    1382.825328    0.6    2     1     1     0     0.2
1998   3     1     1    781.1032977    0.6    2     1     1     0     0.2
2009   3     1     1    123.3712279    0.2    2     1     1     0     0.2
2010   3     1     1    304.6562225    0.2    2     1     1     0     0.2
2011   3     1     1    481.3572126    0.2    2     1     1     0     0.2
2012   3     1     1    437.3360731    0.2    2     1     1     0     0.2
2014   3     1     1    45.4839749     0.2    2     1     1     0     0.2
2015   3     1     1    21.19378597    0.2    2     1     1     0     0.2
2016   3     1     1    0.021193786    0.2    2     1     1     0     0.2
2017   3     1     1    0.021193786    0.2    2     1     1     0     0.2
2018   3     1     1    0.214868020    0.2    2     1     1     0     0.2  # (updated) 
#	Trawl	fishery	discards							
1991	2	2	1	3.538	0.31	2	1	1	0	0.8
1992	2	2	1	1.996	0.31	2	1	1	0	0.8
1993	2	2	1	1.542	0.31	2	1	1	0	0.8
1994	2	2	1	0.318	0.31	2	1	1	0	0.8
1995	2	2	1	0.635	0.31	2	1	1	0	0.8
1996	2	2	1	0.500	0.31	2	1	1	0	0.8
1997	2	2	1	0.500	0.31	2	1	1	0	0.8
1998	2	2	1	0.500	0.31	2	1	1	0	0.8
